
2024/11/14 (20:04:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/14 (20:04:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (20:54:20) | ===> btop++ v.1.4.0
2024/11/14 (20:54:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/14 (20:54:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (21:37:20) | ===> btop++ v.1.4.0
2024/11/14 (21:37:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/14 (21:37:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (22:10:48) | ===> btop++ v.1.4.0
2024/11/14 (22:10:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/14 (22:10:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (22:13:09) | ===> btop++ v.1.4.0
2024/11/14 (22:13:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/14 (22:13:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (22:21:33) | ===> btop++ v.1.4.0
2024/11/14 (22:21:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/14 (22:21:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (06:34:18) | ===> btop++ v.1.4.0
2024/11/16 (06:34:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/16 (06:34:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (07:10:13) | ===> btop++ v.1.4.0
2024/11/16 (07:10:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/16 (07:10:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (07:10:31) | ===> btop++ v.1.4.0
2024/11/16 (07:10:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/16 (07:10:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (22:41:47) | ===> btop++ v.1.4.0
2024/11/17 (22:41:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/17 (22:41:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (03:17:34) | ===> btop++ v.1.4.0
2024/11/19 (03:17:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (03:17:35) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/19 (03:19:35) | ERROR: Stall in Runner thread, restarting!

2024/11/19 (03:20:08) | ===> btop++ v.1.4.0
2024/11/19 (03:20:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (03:20:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (03:49:00) | ===> btop++ v.1.4.0
2024/11/19 (03:49:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (03:49:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (03:49:07) | ===> btop++ v.1.4.0
